year,female_edit_percentage,female_percentage
2015,38.550040563463384,53.64866853023392
2016,34.15583512893585,53.92948319878562
2017,29.737497604905155,64.07390945456855
2018,29.492320029609527,73.65048065072713
2019,29.05263157894737,75.39606795189921
2021,33.033303330333034,73.3412763422444
2022,39.82379726786775,67.42294813093692
2023,51.39256262641979,60.92089728453365
